trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
9e90d4de-930b-4e42-b0bb-56d0dc8db8e0,O0409AAA0A,U_REG,Saens Peña,409,1,wrbl
cfbb24f1-0b1d-4eab-b08b-ea2c8d8d7dd7,O0409AAA0A,U_REG,Saens Peña,409,1,wrbl
7c7749b1-d79f-4d97-956f-22b127f19865,O0691AAA0A,S_REG,Cidade de Deus,691,0,owey
b471d185-50ec-4231-9290-7a6ca6ab6881,O0940AAA0A,U_REG,Madureira,940,0,u35l
3dff3e9c-f804-4f4d-8944-fecc4fce5cc6,O0928AAA0A,U_REG,Bonsucesso,928,0,quyt
bcbfc547-0335-4668-b8af-880cbc6c84d0,O0945AAA0A,U_REG,Cidade Universitária,945,0,yjgy
f2d08a94-eace-4a9f-9537-74e4bd07a257,O0926AAA0A,S_REG,Senador Camará,926,1,ds73
d4611f87-8ca1-4830-8ef8-9f0ac90b98fe,O0954AAA0A,U_REG,Recreio dos Bandeirantes,954,0,39yj
8af185f5-51ab-450c-8c31-c75303e8ac49,O0426AAA0A,U_REG,Usina,426,1,tggb
fea1ccaf-0af6-4596-b958-8f76b8d05b63,O0426AAA0A,U_REG,Usina,426,1,tggb
51b04073-af63-4a8f-8460-7fea91f1a0a6,O0426AAA0A,U_REG,Usina,426,1,tggb
33985b7e-1a02-4b63-93d3-e322aff966cc,O0863AAV0A,S_REG,Terminal Alvorada,SV863,0,awj6
dc97a6f4-689c-4475-898e-28d7bd728b31,O0426AAA0A,U_REG,Usina,426,1,tggb
a8ef33ab-8051-4330-baf7-930a94295d8f,O0774AAV0A,U_REG,Jardim América,SV774,0,o0sw
158a8647-b387-49e0-b9c1-3a35439ac8a6,O0794AAA0A,D_REG,Cascadura,794,0,p9es
39411810-fd94-4596-99ea-4c79275ba7c5,O0774AAV0A,U_REG,Jardim América,SV774,0,o0sw
31997f24-945b-4a91-b767-fabb044dbe03,O0426AAA0A,S_REG,Jardim de Alah,426,0,iy3o
4cebf30a-508a-40c2-b58a-38f5ed2944e4,O0870AAA0A,U_REG,Santa Cruz,870,0,d2fm
5093f4ee-e1a9-4632-ac55-f3e4f6982bb0,O0817AAA0A,S_REG,Vargem Grande,817,0,O0039CAA0AIDU01
c4b40a8d-0738-4833-a225-750c065f5b80,O0426AAA0A,S_REG,Jardim de Alah,426,0,iy3o
2773cb86-396f-4718-8604-a975425d2180,O0163AAA0A,S_REG,Copacabana,163,0,446r
982a6fc8-9ba7-4edd-b833-3eee6d8c459a,O0856AAA0A,S_REG,Capoeira Grande,856,1,avb4
741038ae-1586-4b4a-b7a3-a377013b139e,O0691AAA0A,S_REG,Méier,691,1,tbv0
56bfd08d-4e5b-49f8-84f3-ea7e05f91e37,O0292AAA0A,D_REG,Engenho da Rainha,292,1,4w0k
c79c1ddc-eaf8-41a2-a114-f78bc2ae539e,O0856AAA0A,S_REG,Capoeira Grande,856,1,avb4
785a2655-0258-428c-b104-ad6486d713d0,O0854AAAAA,U_REG,Terminal Campo Grande,854,1,O0854AAPAAVDU01
12c8e5b5-e640-4dd9-9e63-9475cea76e8c,O0519AAA0A,U_REG,Circular,519,0,67l0
c500bac1-3ec3-4779-9e07-c20330e2ac7f,O0691AAA0A,U_REG,Méier,691,1,tbv0
8d0963dc-a05a-405f-a852-e47f6ec48bc7,O0859AAA0A,S_REG,Covanca,859,1,j2yo
60732bef-a02c-47d8-a353-44dac5b8ba19,O0321AAA0A,U_REG,Bancários,321,1,l0et
342108bf-d41d-4eae-a672-09e859101eda,O0859AAA0A,S_REG,Geremário Dantas,859,0,jolv
02b40ea3-9b59-4ba2-bc4c-475a75e840f8,O0611AAA0A,U_REG,Riocentro,611,1,io9a
3b9a14fd-9333-41a7-acb7-a3c932670bbc,O0856AAA0A,D_REG,Terminal Campo Grande,856,0,iijt
5ea04ce7-0d51-42f1-837f-0b58103c537c,O0691AAA0A,S_REG,Méier,691,1,tbv0
